no;Kanji;onyomi-romaji;onyomi-kana;kunyomi-romanji;kunyomi-kana;translation
205;科;ka;カ;empty;空;department, course, section
206;積;seki;セキ;tsu(mu);つ(む);volume, contents, pile up, stack
207;他;ta;タ;hoka;ほか;other, another
208;処;sho;ショ;empty;空;dispose, manage, deal with
209;太;tai, ta;タイ、タ;futo(i);ふと(い);plump, thick, big around
210;客;kyaku, kaku;キャク、カク;empty;空;guest, visitor, customer
211;否;hi;ヒ;ina, iya;いな、いや;negate, no, decline
212;師;shi;シ;empty;空;expert, teacher, master
213;登;tou, to;トウ、ト;nobo(ru), a(garu);のぼ(る)、あ(がる);ascend, climb up
214;易;eki, i;エキ、 イ;yasa(shii), yasu(i);やさ(しい)、 やす(い);easy, ready to, simple
215;速;soku;ソク;haya(i);はや(い);quick, fast
216;存;son, zon;ソン、ゾン;empty;空;exist, be aware of
217;飛;hi;ヒ;to(bu);と(ぶ);fly
218;殺;satsu, sai;サツ、サイ;koro(su);ころ(す);kill, murder
219;号;gou;ゴウ;empty;空;number, item
220;単;tan;タン;hitoe;ひとえ;simple, single
221;座;za;ザ;suwa(ru);すわ(る);squat, seat, sit
222;破;ha;ハ;yabu(ru);やぶ(る);rip, tear, break
223;除;jo, ji;ジョ、ジ;nozo(ku);のぞ(く);exclude, remove
224;完;kan;カン;empty;空;perfect, completion
225;降;kou, go;コウ、 ゴ;o(riru), fu(ru);お(りる)、 ふ(る);descend, precipitate, fall, surrender
226;責;seki;セキ;se(meru);せ(める);blame, condemn
227;捕;ho;ホ;to(raeru), tsuka(maeru);と(らえる)、つか(まえる);catch, capture
228;危;ki;キ;abu(nai), aya(ui);あぶ(ない)、あや(うい);dangerous, fear, uneasy
229;給;kyuu;キュウ;tama(u), tamo(u);たま(う)、たも(う);salary, wage, gift
230;苦;ku;ク;kuru(shii), niga(i);くる(しい)、にが(い);suffering, bitter
231;迎;gei;ゲイ;muka(eru);むか(える);welcome, meet, greet
232;園;en;エン;sono;その;park, garden, yard
233;具;gu;グ;sona(eru), tsubasa(ni);そな(える)、つぶさ(に);tool, utensil
234;辞;ji;ジ;ya(meru);や(める);resign, word, term
235;因;in;イン;yo(ru), china(mu);よ(る)、ちな(む);cause, factor, depend on
236;馬;ba;バ;uma;うま;horse
237;愛;ai;アイ;ito(shii), mana;いと(しい)、まな;love, affection
238;富;fu, fuu;フ、フウ;to(mu), tomi;と(む)、 とみ;wealth, enrich, abundant
239;彼;hi;ヒ;kare, kano;かれ、 かの;he, him
240;未;mi, bi;ミ、ビ;ima(da), ma(da);いま(だ)、ま(だ);un-, not yet
241;舞;bu;ブ;ma(u), mai;ま(う)、まい;dance, circle
242;亡;bou, mou;ボウ、モウ;na(kunaru);な(くなる);deceased, dying
243;冷;rei;レイ;tsume(tai), hi(eru), sa(meru);つめ(たい)、ひ(える)、さ(める);cool, cold, chill
244;適;teki;テキ;kana(u);かな(う);suitable, occasional, rare
245;婦;fu;フ;yome;よめ;lady, woman, wife
